[1506170661.65]	 data from Arduino: '224\r\n'
[1506170678.8]	 data from Nexus: 'ALGO:STAE:16:0'
[1506170679.59]	 data from PC: 'ARDUINO:RS'
[1506170679.65]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170679.65]	 data from Arduino: '224\r\n'
[1506170680.16]	 data from PC: 'ANDROID:MAP:f8007000ff01c0038007000000000000000000000000000000000000000000000007000e001f:00000000'
[1506170680.17]	 data from PC: 'ARDUINO:INS:F'
[1506170680.17]	 data from PC: 'ANDROID:SP:31:0'
[1506170680.17]	 data from PC: 'ARDUINO:RS'
[1506170681.23]	 data from Arduino: '224\r\n'
[1506170681.34]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170681.34]	 data from Arduino: '224\r\n'
[1506170681.85]	 data from PC: 'ANDROID:MAP:f8007000ff01fe038007000e00000000000000000000000000000000000000000007000e001f:0000000000'
[1506170681.86]	 data from PC: 'ARDUINO:INS:F'
[1506170681.86]	 data from PC: 'ANDROID:SP:46:0'
[1506170681.86]	 data from PC: 'ARDUINO:RS'
[1506170682.52]	 data from Arduino: '224\r\n'
[1506170682.59]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170682.59]	 data from Arduino: '224\r\n'
[1506170683.1]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07000e001c0000000000000000000000000000000000000007000e001f:000000000000'
[1506170683.11]	 data from PC: 'ARDUINO:INS:F'
[1506170683.11]	 data from PC: 'ANDROID:SP:61:0'
[1506170683.11]	 data from PC: 'ARDUINO:RS'
[1506170683.89]	 data from Arduino: '224\r\n'
[1506170683.96]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170683.96]	 data from Arduino: '224\r\n'
[1506170684.49]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80e001c0038000000000000000000000000000000000007000e001f:00000000000000'
[1506170684.49]	 data from PC: 'ARDUINO:INS:F'
[1506170684.49]	 data from PC: 'ANDROID:SP:76:0'
[1506170684.49]	 data from PC: 'ARDUINO:RS'
[1506170685.15]	 data from Arduino: '224\r\n'
[1506170685.2]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170685.2]	 data from Arduino: '224\r\n'
[1506170685.72]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01c0038007000000000000000000000000000000007000e001f:0000000000000000'
[1506170685.72]	 data from PC: 'ARDUINO:INS:F'
[1506170685.72]	 data from PC: 'ANDROID:SP:91:0'
[1506170685.72]	 data from PC: 'ARDUINO:RS'
[1506170686.45]	 data from Arduino: '224\r\n'
[1506170686.51]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170686.51]	 data from Arduino: '224\r\n'
[1506170689.59]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe038007000e00000000000000000000000000007000e001f:000000000000000000'
[1506170689.59]	 data from PC: 'ARDUINO:INS:F'
[1506170689.59]	 data from PC: 'ANDROID:SP:106:0'
[1506170689.59]	 data from PC: 'ARDUINO:RS'
[1506170690.25]	 data from Arduino: '224\r\n'
[1506170690.52]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170690.52]	 data from Arduino: '224\r\n'
[1506170691.04]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07000e001c0000000000000000000000007000e001f:00000000000000000000'
[1506170691.04]	 data from PC: 'ARDUINO:INS:F'
[1506170691.04]	 data from PC: 'ANDROID:SP:121:0'
[1506170691.04]	 data from PC: 'ARDUINO:RS'
[1506170691.94]	 data from Arduino: '224\r\n'
[1506170692.0]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170692.0]	 data from Arduino: '224\r\n'
[1506170692.53]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80e001c0038000000000000000000007000e001f:0000000000000000000000'
[1506170692.53]	 data from PC: 'ARDUINO:INS:F'
[1506170692.53]	 data from PC: 'ANDROID:SP:136:0'
[1506170692.53]	 data from PC: 'ARDUINO:RS'
[1506170693.69]	 data from Arduino: '224\r\n'
[1506170693.79]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170693.79]	 data from Arduino: '224\r\n'
[1506170694.32]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01c0038007000000000000000007000e001f:000000000000000000000000'
[1506170694.32]	 data from PC: 'ARDUINO:INS:F'
[1506170694.32]	 data from PC: 'ANDROID:SP:151:0'
[1506170694.32]	 data from PC: 'ARDUINO:RS'
[1506170695.19]	 data from Arduino: '224\r\n'
[1506170695.26]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170695.26]	 data from Arduino: '224\r\n'
[1506170695.78]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe038007000e00000000000007000e001f:00000000000000000000000000'
[1506170695.78]	 data from PC: 'ARDUINO:INS:F'
[1506170695.79]	 data from PC: 'ANDROID:SP:166:0'
[1506170695.79]	 data from PC: 'ARDUINO:RS'
[1506170696.96]	 data from Arduino: '224\r\n'
[1506170697.05]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170697.05]	 data from Arduino: '224\r\n'
[1506170700.09]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07000e001c0000000007000e001f:0000000000000000000000000000'
[1506170700.29]	 data from PC: 'ARDUINO:INS:F'
[1506170700.29]	 data from PC: 'ANDROID:SP:181:0'
[1506170700.29]	 data from PC: 'ARDUINO:RS'
[1506170701.01]	 data from Arduino: '224\r\n'
[1506170701.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170701.07]	 data from Arduino: '224\r\n'
