[1506170661.65]	 data from Arduino: '224\r\n'
[1506170679.65]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170679.65]	 data from Arduino: '224\r\n'
[1506170681.23]	 data from Arduino: '224\r\n'
[1506170681.34]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170681.34]	 data from Arduino: '224\r\n'
[1506170682.52]	 data from Arduino: '224\r\n'
[1506170682.59]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170682.59]	 data from Arduino: '224\r\n'
[1506170683.89]	 data from Arduino: '224\r\n'
[1506170683.96]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170683.96]	 data from Arduino: '224\r\n'
[1506170685.15]	 data from Arduino: '224\r\n'
[1506170685.2]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170685.2]	 data from Arduino: '224\r\n'
[1506170686.45]	 data from Arduino: '224\r\n'
[1506170686.51]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170686.51]	 data from Arduino: '224\r\n'
[1506170690.25]	 data from Arduino: '224\r\n'
[1506170690.52]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170690.52]	 data from Arduino: '224\r\n'
[1506170691.94]	 data from Arduino: '224\r\n'
[1506170692.0]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170692.0]	 data from Arduino: '224\r\n'
[1506170693.69]	 data from Arduino: '224\r\n'
[1506170693.79]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170693.79]	 data from Arduino: '224\r\n'
[1506170695.19]	 data from Arduino: '224\r\n'
[1506170695.26]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170695.26]	 data from Arduino: '224\r\n'
[1506170696.96]	 data from Arduino: '224\r\n'
[1506170697.05]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170697.05]	 data from Arduino: '224\r\n'
[1506170701.01]	 data from Arduino: '224\r\n'
[1506170701.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170701.07]	 data from Arduino: '224\r\n'
[1506170702.3]	 data from Arduino: '224\r\n'
[1506170702.39]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170702.39]	 data from Arduino: '224\r\n'
[1506170703.85]	 data from Arduino: '224\r\n'
[1506170703.91]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170703.92]	 [*] Sent data to Pc: '234:0:0:0:0:2:0\r\n'[1506170703.92]	 data from Arduino: '224\r\n'
[1506170705.09]	 data from Arduino: '224\r\n'
[1506170705.19]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170705.2]	 data from Arduino: '224\r\n'
[1506170706.54]	 data from Arduino: '224\r\n'
[1506170706.64]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170706.65]	 data from Arduino: '224\r\n'
[1506170710.53]	 data from Arduino: '224\r\n'
[1506170710.61]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170710.62]	 data from Arduino: '224\r\n'
[1506170712.17]	 data from Arduino: '224\r\n'
[1506170712.29]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170712.3]	 data from Arduino: '224\r\n'
[1506170713.69]	 data from Arduino: '224\r\n'
[1506170713.7]	 data from Arduino: '224\r\n'
[1506170713.75]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170713.75]	 data from Arduino: '224\r\n'
[1506170715.12]	 data from Arduino: '224\r\n'
